key	text	tooltip
#Loc;1;text/db/mkscript_message_event_text.loc		
message_event_text_text_mk_event_14th_century_primary	The 14th Century	true
message_event_text_text_mk_event_14th_century_secondary	The end of the 13th century marked the end of a figurative golden age in Europe, as the 14th century would bring only death and despair. Calamitous climate change, devastating plagues, and widespread revolts marked the century.	true
message_event_text_text_mk_event_14th_century_title	Turn of the Century	true
message_event_text_text_mk_event_15th_century_primary	The 15th Century	true
message_event_text_text_mk_event_15th_century_secondary	As the 1300s transitioned to the 1400s, the world saw many changes. The use of gunpowder became ever more common, as larger and larger artillery pieces began to enter the battlefield.	true
message_event_text_text_mk_event_15th_century_title	Turn of the Century	true
message_event_text_text_mk_event_albigensian_crusade_title	Albigensian Crusade	true
message_event_text_text_mk_event_annexation_aborted_secondary	The annexation of this vassal state has been aborted because it is no longer your vassal or has been destroyed.	true
message_event_text_text_mk_event_annexation_aborted_secondary_manual	The annexation of this vassal state has been aborted manually.	true
message_event_text_text_mk_event_annexation_aborted_title	Annexation Aborted!	true
message_event_text_text_mk_event_annexed_vassal_secondary	This vassal state has been diplomatically annexed, and is now fully incorporated into your faction.	true
message_event_text_text_mk_event_annexed_vassal_title	Annexed Vassal	true
message_event_text_text_mk_event_armenian_kingdom_formed_primary	The Kingdom of Armenia	true
message_event_text_text_mk_event_armenian_kingdom_formed_secondary	The Kingdom of Armenia, long thought lost to the Seljuks, now rises from the ashes. Few would have predicted that the Armenian Kingdom of Cilicia would reconquer its ancestral lands, but now Armenia stands triumphant, ready to exact vengeance on all its foes.	true
message_event_text_text_mk_event_armenian_kingdom_formed_title	Founding of a Kingdom	true
message_event_text_text_mk_event_black_death_primary	The Plague Breaks Out	true
message_event_text_text_mk_event_black_death_secondary	Rumors from afar speak of a horrible pestilence in the east, one that leaves a trail of blackened suppurating corpses in its wake. One thing remains clear from these accounts, that it spreads quickly and kills without mercy. It would be best to prepare, for the Black Death comes.	true
message_event_text_text_mk_event_black_death_title	The Black Death	true
message_event_text_text_mk_event_byz_africa_reconquered_primary	Africa	true
message_event_text_text_mk_event_byz_africa_reconquered_secondary	North Africa, lost for well over half a millenium, has finally been reconquered by the Roman Empire. The return of the breadbasket of Rome will go down in history! This is a glorious day!	true
message_event_text_text_mk_event_byz_anatolia_reconquered_primary	Anatolia	true
message_event_text_text_mk_event_byz_anatolia_reconquered_secondary	Anatolia, a battleground between the Byzantines and Turks for the last few centuries, has finally been reconquered by the empire in full. Newly-liberated Greek-speaking subjects of the Turks now rejoice, as they are once more under the dominion of the Roman Empire.	true
message_event_text_text_mk_event_byz_antioch_reconquered_primary	The Holy City of Antioch	true
message_event_text_text_mk_event_byz_antioch_reconquered_secondary	The great city of Antioch has once more been reconquered by its rightful rulers, the Romans. Hopefully, this time it will be for good.	true
message_event_text_text_mk_event_byz_dalmatia_reconquered_primary	Dalmatia	true
message_event_text_text_mk_event_byz_dalmatia_reconquered_secondary	The Theme of Dalmatia, lost to Croatia and Hungary well over a century ago, has finally been restored to the Empire. Despite its precarious location, Dalmatia is nonetheless a valuable region due to its coastal cities and potential for commerce.	true
message_event_text_text_mk_event_byz_egypt_reconquered_primary	Egypt	true
message_event_text_text_mk_event_byz_egypt_reconquered_secondary	The breadbasket of Constantinople falls under Byzantine control for the first time since its loss in the early Muslim conquests. Egypt will again become a vital cornerstone in the continued prosperity of the glorious Roman State	true
message_event_text_text_mk_event_byz_empire_restored_primary	The Byzantine Empire	true
message_event_text_text_mk_event_byz_empire_restored_secondary_mk_fact_epirus	The Empire of Epirus is no more, as the rightful Romans now rule in Constantinople once more. The true Roman Empire has been restored, though pretenders in the west would refuse to call it such. Many within the empire's borders hope that it may soon return to its former pre-Frankokratia glory. Despite its precarious position, Byzantium is posed to become a great power once more if the Turks in Anatolia and its rivals in the west can be defeated.	true
message_event_text_text_mk_event_byz_empire_restored_secondary_mk_fact_nicaea	The Empire of Nicaea is no more, as the rightful Romans now rule in Constantinople once more. The true Roman Empire has been restored, though pretenders in the west would refuse to call it such. Many within the empire's borders hope that it may soon return to its former pre-Frankokratia glory. Despite its precarious position, Byzantium is posed to become a great power once more if the Turks in Anatolia and its rivals in the west can be defeated.	true
message_event_text_text_mk_event_byz_empire_restored_secondary_mk_fact_trebizond	The Empire ofTrebizond is no more, as the rightful Romans now rule in Constantinople once more. The true Roman Empire has been restored, though pretenders in the west would refuse to call it such. Many within the empire's borders hope that it may soon return to its former pre-Frankokratia glory. Despite its precarious position, Byzantium is posed to become a great power once more if the Turks in Anatolia and its rivals in the west can be defeated.	true
message_event_text_text_mk_event_byz_empire_restored_title	Restoration of the Empire	true
message_event_text_text_mk_event_byz_greece_reconquered_primary	Greece	true
message_event_text_text_mk_event_byz_greece_reconquered_secondary	The Latins have finally been pushed out of Greece, and the Byzantine Empire once again stands strong. This day shall be long remembered in history!	true
message_event_text_text_mk_event_byz_imperial_reconquest_title	Imperial Reconquest	true
message_event_text_text_mk_event_byz_italy_reconquered_primary	Italy	true
message_event_text_text_mk_event_byz_italy_reconquered_secondary	Few could have dreamt of this day. At long last, Italy has finally been taken back. Rome is once more in the hands of the true Romans, and not since the era of the great Justinian has Roman rule in Italy been stronger. Not long ago, Constantinople was occupied by the Latins. Now, the spiritual home of the Latins is occupied by the Romans, and none can doubt which empire is the true Roman Empire.	true
message_event_text_text_mk_event_byz_oriens_reconquered_primary	Oriens	true
message_event_text_text_mk_event_byz_oriens_reconquered_secondary	Palestine and Syria now lie within the Byzantine dominion, and with control of the holy lands comes increased respect for the Empire.	true
message_event_text_text_mk_event_byz_pentarchy_primary	Restoration of the Pentarchy	true
message_event_text_text_mk_event_byz_pentarchy_secondary	The Pentarchy has been restored, as Alexandria, Antioch, Constantinople, Jerusalem, and Rome are now all under the rule of the Romans. Control of these regions has reinforced the legitimacy of the Orthodox church over Catholicism. Few now would question that the Orthodoxy Chruch is the one, true, and original branch of Christianity.	true
message_event_text_text_mk_event_byz_roman_empire_restored_primary	The Roman Empire	true
